item_no,field_name,description
359,popdisab_anydiab_t,Total_population_both_sex-With_any_of_4_disabilities
360,disabtype_see_t,Type_of_disability_both_sex-Seeing
361,disabtype_hear_t,Type_of_disability_both_sex-Hearing
362,disabtype_walk_t,Type_of_disability_both_sex-Walking
363,disabtype_rmbr_t,Type_of_disability_both_sex-Remembering
364,popdisab_notdisab_m,Total_population_male-Not_disabled
365,popdisab_anydiab_m,Total_population_male-With_any_of_4_disabilities
366,disabtype_see_m,Type_of_disability_male-Seeing
367,disabtype_hear_m,Type_of_disability_male-Hearing
368,disabtype_walk_m,Type_of_disability_male-Walking
369,disabtype_rmbr_m,Type_of_disability_male-Remembering
370,popdisab_notdisab_f,Total_population_female-Not_disabled
371,popdisab_anydiab_f,Total_population_female-With_any_of_4_disabilities
372,disabtype_see_f,Type_of_disability_female-Seeing
373,disabtype_hear_f,Type_of_disability_female-Hearing
374,disabtype_walk_f,Type_of_disability_female-Walking
375,disabtype_rmbr_f,Type_of_disability_female-Remembering
376,pop_t_ne,Total_population-Both_sexes (non-enumerated)
377,pop_m_ne,Total_population-Male (non-enumerated)
378,pop_f_ne,Total_population-Female (non-enumerated)
